Run!	Fugi!
Let's start after he comes home.	Să începem după ce el se întoarce acasă.
Mary works for an NGO in Africa.	Mary lucrează pentru un ONG în Africa.
Mary works for an NGO in Africa.	Mary lucrează în Africa pentru o organizație non-guvernamentală.
Misery and sorrow accompany war.	Mizeria și durerea însoțesc războiul.
My attitude towards him changed.	Atitudinea mea față de el s-a schimbat.
My father likes pizza very much.	Tatălui meu îi place pizza foarte mult.
My father sometimes goes abroad.	Câteodată tatăl meu merge în străinătate.
My friends invited me to dinner.	Prietenii mei m-au invitat la cină.
My house is close to a bus stop.	Casa mea e aproape de staţia de autobuz.
Nobody had anything more to say.	Nimeni nu a avut ceva în plus de spus.
One of Tom's fingers was broken.	Unul din degetele lui Tom s-a rupt.
Pardon me, do you speak English?	Mă scuzaţi, vorbiţi engleza?
Please give me a glass of water.	Te rog dă-mi un pahar de apă.
She could not cope with anxiety.	Ea nu a putut să facă față anxietății.
She is now eighty-one years old.	Ea are optzeci și unu de ani.
She lived with him all her life.	Ea a locuit cu el toată viața ei.
She looked him right in the eye.	Ea l-a privit direct în ochi.
She really wants to lose weight.	Ea chiar vrea să piardă din greutate.
She really wants to lose weight.	Ea chiar vrea să slăbească.
She took the taxi to the museum.	Ea a luat un taxi până la muzeu.
She tried to lower her expenses.	Ea a încercat să-și reducă cheltuielile.
She was a pioneer in this field.	A fost pionier în acest domeniu.
She was a pioneer in this field.	A fost deschizător de drumuri în acest domeniu.
She was sticking her tongue out.	Ea scotea limba afară.
She went to see him reluctantly.	Ea a mers să-l vadă fără tragere de inimă.
She went with him to the movies.	Ea a mers cu el la cinema.
Smell is one of the five senses.	Mirosul e unul dintre cele cinci simțuri.
Such incidents are quite common.	Astfel de incidente sunt destul de obişnuite.
Swimming here is very dangerous.	Înnotul aici este foarte periculos.
Tell your mother about the trip.	Spune-i mamei tale despre excursie.
That motorcycle isn't expensive.	Această motocicletă nu este scumpă.
The benefits outweigh the costs.	Beneficiile depășesc costurile.
The benefits outweigh the costs.	Beneficiile sunt mai mari decât costurile.
The capital of Poland is Warsaw.	Capitala Poloniei este Varşovia.
The cat which you found is mine.	Pisica pe care ai găsit-o e a mea.
The cat which you found is mine.	Pisica pe care ai găsit-o este a mea.
The company was founded in 1974.	Compania a fost înfiinţată în 1974.
The factory produces ammunition.	Fabrica produce muniție.
The fire was on the first floor.	Focul era la parter.
The present time is a good time.	Timpul prezent e un timp bun.
The president abolished slavery.	Președintele a abolit sclavia.
The road is closed indefinitely.	Drumul este închis pe o perioadă nedeterminată.
The situation is getting better.	Situația se îmbunătățește.
The team's schedule is grueling.	Programul echipei este istovitor.
The train is 30 minutes overdue.	Trenul are întârziere 30 de minute.
The young girl burst into tears.	Fetiţa a izbucnit în lacrimi.
There are too many things to do!	Sunt prea multe lucruri de făcut!
There is a monster under my bed.	Este un monstru sub patul meu.
There was no warning whatsoever.	Nu a existat nici un fel de avertisment.
They are jealous of our success.	Sunt geloşi pe succesul nostru.
They died trying to save others.	Ei au murit încercând să-i salveze pe alții.
They moved here three years ago.	Ei s-au mutat aici acum trei ani.
They say that he hates to study.	Ei spun că lui nu-i place să studieze.
They took a trip to the capital.	Ei au făcut o excursie în capitală.
They're looking for a scapegoat.	Ei caută un țap ispășitor.
Things got a little out of hand.	Lucrurile au scăpat puțin de sub control.
This is something anyone can do.	Aceasta este ceva ce poate face oricine.
This is the cheaper alternative.	Aceasta este cea mai ieftină alternativă.
This is the core of the problem.	Acesta este miezul problemei.
This machine is now out of date.	Acest aparat nu mai este de actualitate.
To some extent I agree with you.	Într-o anumită măsură sunt de acord cu tine.
Tom achieved remarkable results.	Tom a obținut rezultate remarcabile.
Tom and I encouraged each other.	Tom și cu mine ne-am încurajat reciproc.
Tom and Mary despise each other.	Tom și Mary se disprețuiau.
Tom asked Mary if she loved him.	Tom a întrebat-o pe Mary dacă îl iubește.
Tom asked Mary why she had lied.	Tom a întrebat-o pe Mary de ce a mințit.
Tom can help you later, perhaps.	Tom te poate ajuta mai târziu, poate.
Tom can't play tennis very well.	Tom nu joacă tenis foarte bine.
Tom cheated on the history exam.	Tom a copiat la examenul de istorie.
Tom cheated on the history exam.	Tom a trișat la examenul de istorie.
Tom could hardly stand the pain.	Tom putea cu greu să suporte durerea.
Tom decided to take the day off.	Tom a decis să-și ia o zi liberă.
Tom doesn't believe Mary at all.	Tom nu o crede deloc pe Mary.
Tom doesn't care what Mary does.	Lui Tom nu-i pasă ce face Mary.
Tom doesn't care what Mary says.	Lui Tom nu-i pasă ce spune Mary.
Tom doesn't like Mary very much.	Tom nu o place pe Mary foarte mult.
Tom explained the rules to Mary.	Tom a explicat regulile lui Mary.
Tom gets along with his in-laws.	Tom se înțelege bine cu socrii lui.
Tom has been released from jail.	Tom a fost eliberat de la închisoare.
Tom hasn't been here since then.	Tom nu a mai fost pe aici de atunci.
Tom hastily packed his suitcase.	El și-a făcut bagajul în grabă.
Tom is a very thoughtful person.	Tom este o persoană foarte grijulie.
Tom is a very thoughtful person.	Tom este o persoană foarte gânditoare.
Tom is ambitious and optimistic.	Tom este ambițios și optimist.
Tom is an above-average student.	Tom este un student peste medie.
Tom is faster than anybody else.	Tom este mai rapid decât oricare altul.
Tom is going to love this place.	Lui Tom îi va place acest loc.
Tom is waiting to take you home.	Tom așteaptă să te ia acasă.
Tom isn't still sleeping, is he?	Tom nu mai doarme, nu-i așa?
Tom isn't still sleeping, is he?	Tom nu mai doarme, așa-i?
Tom lacks confidence in himself.	Lui Tom îi lipsește încrederea în sine.
Tom left Mary for another woman.	Tom a părăsit-o pe Mary pentru o altă femeie.
Tom looked at Mary in disbelief.	Tom s-a uitat la Maria cu neîncredere.
Tom needs to borrow an umbrella.	Tom are nevoie să împrumute o umbrelă.
Tom prayed for Mary to get well.	Tom s-a rugat ca Mary să se facă bine.
Tom pressed the intercom button.	Tom a apăsat butonul interfonului.
Tom readily admits his mistakes.	Tom își recunoaște greșelile cu ușurință.
Tom shook his head in disbelief.	Tom a dat din cap cu neîncredere.
Tom slipped on the icy sidewalk.	Tom a alunecat pe trotuarul înghețat.
Tom stared at Mary in disbelief.	Tom se holba la Maria cu neîncredere.
Tom told me his father was rich.	Tom mi-a spus că tatăl lui e bogat.
Tom waited a good hour for Mary.	Tom a așteptat-o o oră bună pe Mary.
Tom was the very last to arrive.	Tom a ajuns ultimul.
We are eating breakfast indoors.	Noi luăm micul dejun înăuntru.
We certainly don't endorse that.	Cu siguranță nu aprobăm acest lucru.
We have to find rules that work.	Trebuie să găsim reguli care merg.
We have to prioritize our needs.	Trebuie să ne prioritizăm nevoile.
We haven't run out of water yet.	Nu am rămas fără apă încă.
We never exceed the speed limit.	Noi nu depășim niciodată limita de viteză.
We should look into the problem.	Ar trebui să analizăm problema.
We took a short rest on the way.	Am făcut o scurtă pauză pe drum.
We went halfway up the mountain.	Am urcat până la jumătatea muntelui.
We worked on a farm last summer.	Noi am lucrat la o fermă vara trecută.
We'll go to church this evening.	Diseară mergem la biserică.
We're not open for business yet.	Încă nu suntem deschiși pentru afaceri.
Were you praised by the teacher?	Ai fost lăudat de profesor?
What is your favorite vegetable?	Care este leguma ta preferată?
What was the cause of his delay?	Care era cauză pentru care a întârziat?
Where can I find an interpreter?	Unde pot găsi un interpret?
Would you give me Tom's address?	Vrei să-mi dai adresa lui Tom?
Would you like some apricot jam?	Vreți niște gem de caise?
Would you like to dance with me?	Ți-ar plăcea să dansezi cu mine?
Would you like to go for a walk?	Ai vrea să mergi la o plimbare?
Would you like to join our team?	Ai vrea să te alături echipei noastre?
Would you like to study with me?	V-ar plăcea să studiați cu mine?
Would you like to study with me?	Ți-ar plăcea să studiezi cu mine?
You ask me to do the impossible.	Îmi ceri să fac imposibilul.
You can do whatever you want to.	Poți să faci orice vrei.
You can do whatever you want to.	Puteți să faceți orice vreți.
You should listen to his advice.	Trebuie să asculți de sfatul lui.
You should talk directly to Tom.	Ai trebui să discuți direct cu Tom.
You shouldn't be talking to Tom.	Tu nu ar trebui să vorbești cu Tom.
You'd better stay on your guard.	Mai bine stai cu ochii în patru.
You're contradicting yourselves.	Te contrazici singur.
Your accusation is preposterous.	Acuzația ta este absurdă.
Your accusation is preposterous.	Acuzația dumneavoastră este absurdă.
A centimeter is a unit of length.	Centimetrul este o unitate de lungime.
A centimeter is a unit of length.	Un centimetru este o unitate de măsură pentru lungime.
Are you allergic to any medicine?	Ești alergic la vreun medicament?
At what time will you be leaving?	La ce oră o să pleci?
Base jumping is an extreme sport.	Bungee jumping este un sport extrem.
Can it be phrased in another way?	Poate fi formulat într-un alt mod?
Do you have a table on the patio?	Ai o masă pe terasă?
Do you have any questions for me?	Ai ceva întrebări pentru mine?
Do you have safety deposit boxes?	Ai casete de valori?
Do you want a seat by the window?	Vrei un loc la fereastră?
Don't throw rocks into the river.	Nu arunca pietre în râu.
English is pretty hard, isn't it?	Engleza este destul de grea, nu-i așa?
Ethics is a branch of philosophy.	Etica este o ramură a filozofiei.
Everybody knows that old trapper.	Toți îl cunosc pe vechiul vânător.
Everything must be accounted for.	Totul trebuie luat în considerare.
Have you ever eaten a banana pie?	Ai mâncat vreodată o plăcintă cu banane?
He cut his finger with the knife.	Şi-a tăiat degetul cu cuţitul.
He enjoys exploring remote areas.	Îi place să exploreze zone îndepărtate.
He felt as if he were in a dream.	Se simţea ca şi cum ar fi fost în vis.
He introduced his daughter to me.	Mi-a prezentat-o pe fiica sa.
He is capable of teaching French.	El este capabil să predea franceza.
He is envious of my good fortune.	El este invidios pe norocul meu.
He is not a doctor but a teacher.	Nu e doctor, ci profesor.
He is uncertain about his future.	El e nesigur cu viitorul său.
He joined the United States Navy.	S-a înrolat în marina Statelor Unite.
He made up a story about the dog.	El a inventat o poveste despre acel câine.
He must have reached the station.	El trebuie să fi ajuns la stație.
He repaired his watch by himself.	El și-a reparat ceasul singur.
He was refused medical treatment.	Lui i s-a refuzat tratamentul medical.
He was satisfied with the result.	El a fost satisfăcut de rezultat.
He went backstage after the show.	S-a dus în culise după spectacol.
He wrote to me from time to time.	El mi-a scris din când în când.
He wrote to me from time to time.	El mi-a scris uneori.
He wrote to me from time to time.	El mi-a scris din timp în timp.
His office is very close to mine.	Biroul lui este foarte aproape de al meu.
His opinion is generally correct.	Părerea lui este în general corectă.
His shirt was stained with sauce.	Cămașa lui era pătată cu sos.
How about tomorrow night at nine?	Ce zici de mâine seară la nouă?
How long should the sauce simmer?	Cât timp ar trebui să fiarbă sosul?
I can understand your reluctance.	Îți înțeleg reticența.
I can't deal with this right now.	Nu mă pot ocupa de problema asta chiar acum.
I can't remember the secret code.	Nu-mi pot aminti codul secret.
I can't tell you why Tom is late.	Nu-ți pot spune de ce Tom întârzie.
I clean my room almost every day.	Eu îmi fac curat în cameră aproape în fiecare zi.
I could teach you a thing or two.	Te-as putea invata cite ceva.
I did not mean to disappoint her.	Nu am intenționat să o dezamăgesc.
I didn't know where it came from.	Nu știam de unde a venit.
I didn't think I'd meet you here.	Nu mă gândeam că o să te întâlnesc aici.
I didn't think this would happen.	Nu credeam că se va întâmpla asta.
I didn't think this would happen.	Nu mă gândeam că se va întâmpla asta.
I don't actually have to do that.	Chiar nu trebuie să fac asta.
I don't have to confirm anything.	Nu trebuie să confirm nimic.
I don't know who to consult with.	Nu știu cu cine să mă consult.
I don't think he's a great actor.	Nu cred că e un mare actor.
I don't want to be seen with him.	Nu vreau să fiu văzut în compania lui.
I feel sick whenever I see blood.	Mi se face rău de fiecare dată când văd sânge.
I found that absolutely shocking.	Mi s-a părut cu adevărat șocant.
I got accustomed to living alone.	M-am obișnuit să trăiesc singur.
I got accustomed to living alone.	M-am obișnuit să trăiesc singură.
I guessed her to be 40 years old.	Eu o am ghicit să fie 40 anii vechi.
I guessed her to be 40 years old.	Am ghicit că ea are 40 de ani.
I have already washed the dishes.	Am spălat deja vasele.
I hear that his father is abroad.	Aud că tatăl lui e în străinătate.
I heard you did well on the exam.	Am auzit că te-ai descurcat bine la examen.
I hope everything works out fine.	Sper că totul va merge bine.
I hope to go to Canada next year.	Sper să merg în Canada anul viitor.
I knew you could beat Tom easily.	Știam că-l poți bate ușor pe Tom.
I know a thing or two about that.	Cam stiu cite ceva despre asta.
I lost my son about a decade ago.	L-am pierdut pe fiul meu acum aproape un deceniu.
I love the fact that you love me.	Iubesc faptul că mă iubeşti.
I love you more than you love me.	Te iubesc mai mult decât mă iubești tu pe mine.
I need pens, notebooks and so on.	Am nevoie de stilouri, caiete şi altele.
I ordered them to leave the room.	Le-am ordonat să părăsească încăperea.
I plan to be in Boston all month.	Am în plan să stau în Boston toată luna.
I put those photos on my webpage.	Am pus acele fotografii pe pagina mea de internet.
I think Tom has the hots for you.	Cred că Tom îți trage clopotele.
I want to be consistent and fair.	Vreau să fiu consecventă și corectă.
I want to be consistent and fair.	Vreau să fiu consecvent și corect.
I want to tell you what happened.	Vreau să-ți spun ce s-a întâmplat.
I wanted to become a philosopher.	Voiam să devin filozof.
I was out of breath and sat down.	Am rămas fără respirație și m-am așezat.
I was starting to lose my temper.	Începusem să îmi pierd cumpătul.
I was thinking of the same thing.	Mă gândeam la același lucru.
I will do everything in my power.	Voi face tot ce îmi stă în putere.
I would like to buy some aspirin.	Aș vrea să cumpăr niște aspirină.
I wouldn't be so sure about that.	N-aş fi atât de sigur de asta.
I'm not at liberty to discuss it.	Nu am libertatea să discut despre asta.
I'm not interested in modern art.	Nu sunt interesat de arta contemporană.
I'm sick and tired of this place.	M-am săturat de acest loc.
If it doesn't rain, let's go out.	Dacă nu plouă, să mergem afară.
It is still in the testing stage.	Este încă în curs de testare.
It is still in the testing stage.	Este înca în faza de testare.
It was an awesome accomplishment.	A fost o realizare minunată.
It was the calm before the storm.	Era liniștea de dinaintea furtunii.
It's been a pleasure meeting you.	A fost o plăcere să te cunosc.
It's not something anyone can do.	Nu e ceva ce oricine poate face.
Let them take care of themselves.	Lasă-i să aibă grijă de ei înșiși.
Life without love is meaningless.	Viața fără iubire este fără sens.
Look at that picture on the desk.	Uită-te la poza de pe birou.
Marilyn Monroe died 33 years ago.	Marilyn Monroe a murit acum treizeci și trei de ani.
Mother is cooking in the kitchen.	Mama gătește în bucătărie.
Music is a form of entertainment.	Muzica este o formă de divertisment.
My boat ran aground on a sandbar.	Barca mea a eșuat pe un banc de nisip.
My dad is not home at the moment.	Tatăl meu nu e acasă în acest moment.
My little brother is watching TV.	Fratele meu cel mic se uită la televizor.
No one called my attention to it.	Nimeni nu mi-a atras atenția asupra lui.
No one on either side was killed.	Nimeni din nici o tabără nu a fost omorât.
Not a single soul knows about it.	Niciun suflet nu știe despre asta.
Nothing ventured, nothing gained.	Cine nu riscă, nu câştigă.
One of you should be helping Tom.	Unul dintre voi ar trebui să îl ajute pe Tom.
One of your buttons has come off.	Ți-a căzut unul dintre nasturi.
Please excuse me for coming late.	Te rog, scuză-mă că am venit târziu.
Please forgive me for being late.	Te rog, iartă-mă că am întârziat.
Prejudice will continue to exist.	Prejudecata va continua să existe.
President Van Buren was troubled.	Preşedintele Van Buren era neliniştit.
Production of rice has decreased.	Producția de orez a scăzut.
Saint Peter's Square was crowded.	Piața Sfântul Petru era aglomerată.
Sea turtles have a long lifespan.	Țestoasele de mare au o durată de viață lungă.
She can make all her own clothes.	Îşi poate face toate hainele proprii.
She found employment as a typist.	Ea și-a găsit de lucru ca dactilograf.
She has a very enviable position.	Ea ocupă o poziție de invidiat.
She loved him with all her heart.	Ea l-a iubit din toată inima ei.
She loved him with all her heart.	Ea l-a iubit cu toată inima ei.
She showed up early for practice.	Ea a venit mai devreme pentru exerciții.
She waited for you for two hours.	Te-a aşteptat două ore.
She watched the grass turn green.	Ea privea cum iarba se înverzește.
She wrapped herself in a blanket.	S-a înfăşurat în pătură.
She's asking how that's possible.	Întreabă cum a fost asta posibilă.
She's asking how that's possible.	Întreabă cum e asta posibilă.
Someday you should give it a try.	Ar trebui să încerci într-o zi!
Suicide is an act of desperation.	Suicidul este un act de disperare.
Suicide is an act of desperation.	Sinuciderea este un act de disperare.
Sunshine is beneficial to plants.	Soarele este benefic pentru plante.
Tell Tom to stay out of my house.	Spune-i lui Tom să stea afară din casă.
Ten years is a long time to wait.	Zece ani e o lungă perioadă de așteptare.
That could come in handy someday.	Acel lucru ar putea fi util într-o zi.
That was the best day of my life.	Asta a fost cea mai bună zi din viața mea.
That's a supposition, not a fact.	Asta-i o presupunere, nu un fapt.
That's the most important reason.	Acesta este cel mai important motiv.
The door of the office is yellow.	Ușa biroului e galbenă.
The law was enforced immediately.	Legea a fost aplicată imediat.
The message is written in French.	Mesajul este scris în franceză.
The place is apparently deserted.	Acest loc pare a fi părăsit.
The plane was approaching London.	Avionul se apropia de Londra.
The problem remains to be solved.	Problema rămâne de rezolvat.
The rumor is true to some extent.	Zvonul este adevărat într-o oarecare măsură.
The statement is not wholly true.	Declarația nu este pe deplin adevărată.
The statement is not wholly true.	Afirmația nu este adevărată în întregime.
The storm caused a lot of damage.	Furtuna a făcut multe pagube.
The storm caused a lot of damage.	Furtuna a făcut multe daune.
There are abundant food supplies.	Există surse de hrană abundente.
There is a television in my room.	Există un televizor în camera mea.
There is no hope of his recovery.	Nu există speranță pentru recuperarea lui.
There is no school during August.	În luna august nu se face școală.
There's a white dove on the roof.	Este un porumbel alb pe acoperiș.
There's no need to speak so loud.	Nu e nevoie să vorbești așa de tare.
There's nothing that can be done.	Nu se poate face nimic.
Thermometers often go below zero.	Termometrele coboară adesea sub zero.
They are the ones who want to go.	Ei sunt cei care vor să meargă.
They were criticizing each other.	Ei s-au criticat reciproc.
They're going to a charity event.	Ei se duc la un eveniment de caritate.
This is a very interesting story.	Aceasta este o poveste foarte interesantă.
This is only a temporary setback.	Acesta este doar un obstacol temporar.
This is the letter for my friend.	Asta este scrisoarea pentru prietenul meu.
This is where it's all happening.	Aici este locul în care se petrece totul.
This just has to be his umbrella.	Aceasta trebuie să fie umbrela lui.
This movie is highly recommended.	Acest film este recomandat cu precădere.
This movie is highly recommended.	Acest film este deosebit de recomandat.
This novel is interesting enough.	Acest roman este destul de interesant.
This problem is worth discussing.	Această problemă merită discutată.
This ship is bound for Vancouver.	Această nava se duce la Vancouver.
To tell the truth, he was lonely.	Adevărul fie spus, el era singur.
Tom accused me of stealing money.	Tom m-a acuzat că aș fi furat bani.
Tom actually hardly ever studies.	Tom de fapt aproape niciodată nu studiază.
Tom and Mary spent time together.	Tom și Mary au petrecut timp împreună.
Tom can understand Mary's French.	Tom înţelege franceza lui Mary.
Tom can't sleep without a pillow.	Tom nu poate dormi fără pernă.
Tom didn't have to help us today.	Tom n-ar fi trebuit să ne ajute astăzi.
Tom doesn't know where Mary went.	Tom nu știe unde s-a dus Mary.
Tom doesn't know where Mary went.	Tom nu știe unde a plecat Mary.
Tom doesn't like Mary's attitude.	Lui Tom nu-i place atitudinea lui Mary.
Tom doesn't like poker very much.	Lui Tom nu-i place pokerul foarte mult.
Tom doesn't like speaking French.	Lui Tom nu-i place să vorbească franceza.
Tom doesn't like to be disturbed.	Lui Tom nu-i place să fie deranjat.
Tom drives more slowly than Mary.	Tom conduce mai încet decât Mary.
Tom encouraged Mary to try again.	Tom a încurajat-o pe Mary să încerte din nou.
Tom had Mary make him a sandwich.	Tom i-a cerut lui Mary să-i facă un sandviș.
Tom handed Mary a sheet of paper.	Tom i-a dat lui Mary o foaie de hârtie.
Tom has a new pair of sunglasses.	Tom are o nouă pereche de ochelari.
Tom is aware of his shortcomings.	Tom este conștient de neajunsurile sale.
Tom is aware of his shortcomings.	Tom este conștient de defectele sale.
Tom is driving without a license.	Tom conduce fără permis.
Tom is getting weaker and weaker.	Tom devine din ce în ce mai slăbit.
Tom is no longer studying French.	Tom nu mai studiază limba franceză.
Tom is one of my closest friends.	Tom este unul dintre cei mai apropiați prieteni ai mei.
Tom is still not talking to Mary.	Tom încă nu vorbeşte cu Mary.
Tom is the author of three books.	Tom este autorul a trei cărți.
Tom is the brains of our company.	Tom este creierul companiei noastre.
Tom is the meanest kid in school.	Tom este cel mai rău copil din școală.
Tom knows quite a lot about Mary.	Tom știe destul de multe despre Mary.
Tom knows some of Mary's friends.	Tom îi cunoaște pe unii dintre prietenii Mariei.
Tom knows the man Mary came with.	Tom îl cunoaște pe bărbatul cu care a venit Mary.
Tom needed to jump start his car.	Tom a trebuit să-și pornească mașina luând curent de la altă baterie.
Tom refused to conceal the truth.	Tom a refuzat să ascundă adevărul.
Tom said Mary had a bad attitude.	Tom a spus că Mary avea o atitudine proastă.
Tom said he didn't need a lawyer.	Tom a spus că nu are nevoie de un avocat.
Tom shot at Mary with a crossbow.	Tom a tras în Mary cu o arbaletă.
Tom should start his own company.	Tom ar trebui să-și facă propria lui firmă.
Tom shouldn't have eaten so much.	Tom n-ar fi trebuit să mănânce aşa de mult.
Tom still doesn't live in Boston.	Tom nu locuiește încă în Boston.
Tom thinks Mary would be jealous.	Tom crede că Mary ar fi geloasă.
Tom thinks the plan may backfire.	Tom crede ca planul ar putea avea efecte nedorite.
Tom told me that he's suspicious.	Tom mi-a spus că este suspicios.
Tom will be at the party tonight.	Tom va fi la petrecere diseară.
Tom will probably be busy Monday.	Tom va fi probabil ocupat luni.
Traffic is a major urban problem.	Traficul este o mare problemă a orașelor.
We came back by way of Hong Kong.	Ne-am întors prin Hong Kong.
We sat in the center of the room.	Ne-am așezat în mijlocul camerei.
We talked about yesterday's test.	Am vorbit despre testul de ieri.
We'd like you to sing some songs.	Am vrea să cânţi câteva cântece.
We'll have to wait a few minutes.	Va trebui să așteptăm câteva minute.
We've just spent two weeks apart.	Noi tocmai am petrecut două săptămâni despărțiți.
What did Tom do with his old car?	Ce a făcut Tom cu vechea lui mașină?
What have I done to deserve this?	Ce am făcut să merit asta?
What's that thing supposed to do?	Pentru ce este destinat acel lucru?
What's the forecast for tomorrow?	Care este prognoza meteo pentru ziua de mâine?
When it rains, she takes the bus.	Când plouă, ea ia autobuzul.
Where did you lose your umbrella?	Unde ți-ai pierdut umbrela?
Which do you want, tea or coffee?	Ce doriţi: ceai sau cafea?
Who do you think will come first?	Cine crezi că va veni primul?
Who told you I wasn't happy here?	Cine ți-a spus că nu eram fericit aici?
Why do you need a new television?	De ce ai nevoie de un nou televizor?
Why is life so full of suffering?	De ce este viața atât de plină de suferință?
Wine is poetry put into a bottle.	Vinul e poezie turnată într-o sticlă.
Without him, I would be helpless.	Fără el, aş fi neajutorat.
Without him, I would be helpless.	Fără el, aş fi neajutorată.
Would you please turn off the TV?	Ai putea, te rog, să închizi televizorul?
You may always use my dictionary.	Vei putea folosi întotdeauna dicţionarul meu.
You will know the truth some day.	Vei afla adevărul într-o zi.
You're in better shape than I am.	Ești într-o formă mai bună decât sunt eu.
You're not ambitious enough, Tom.	Nu ești destul de ambițios, Tom.
Your friends are waiting for you.	Prietenii tăi te așteaptă.
A closed fist can indicate stress.	Un pumn închis poate indica stresul.
A closed fist can indicate stress.	Un pumn închis poate indica existența stresului.
Accidents arise from carelessness.	Accidentele apar din cauza neglijenței.
After the storm, the sea was calm.	După furtună, marea era calmă.
Australia is abundant in minerals.	Australia abundă în minerale.
Birds of a feather flock together.	Cine se aseamănă se adună.
Can you do that in thirty minutes?	Poți să faci asta în treizeci de minute?
Can you help me for just a minute?	Mă poți ajuta doar pentru un minut?
Coincidentally enough, I know him.	Întâmplător, îl cunosc.
Could you describe Tom's demeanor?	Ai putea descrie comportamentul lui Tom?
Could you describe Tom's demeanor?	Ați putea descrie comportamentul lui Tom?
Do you have a shovel I can borrow?	Ai o lopată pe care o pot împrumuta?
Do you know when they will arrive?	Știi când vor sosi?
Do you think English is difficult?	Crezi că limba engleză este dificilă?
Does Tom usually put on sunscreen?	Se dă Tom de obicei cu cremă de protecție solară?
Does school start at eight-thirty?	Şcoala începe la opt treizeci?
Don't dwell on your past mistakes!	Nu vă concentrați asupra greșelilor din trecut!
Don't stand in other people's way.	Nu sta în calea oamenilor.
Don't try to keep her to yourself.	Nu încerca să o ţii numai pentru tine.
Don't use the desk by that window.	Nu folosi biroul de lângă fereastra aceea.
Einstein liked to play the violin.	Lui Einstein îi plăcea sa cânte la vioară.
Everyone makes mistakes sometimes.	Oricine face greșeli câteodată.
Give him the benefit of the doubt.	Oferă-i prezumţia de nevinovăţie.
Give him the benefit of the doubt.	Acordă-i prezumţia de nevinovăţie.
Hard work is the price of success.	Munca grea este prețul succesului.
He carried on with his experiment.	El și-a continuat experimentul.
He denied having stolen the money.	El a negat că ar fi furat banii.
He explained the matter in detail.	A explica chestiunea în detaliu.
He failed to catch the 8:30 train.	A pierdut trenul de 8:30.
He had almost no formal education.	El aproape că nu avea o educație formală.
He has a good knowledge of French.	El are o bună cunoaștere a francezei.
He has a very good sense of humor.	El are un foarte bun simţ al umorului.
He is the best player on our team.	E cel mai bun jucător din echipa noastră.
He is too young to go there alone.	Este prea tânăr să meargă acolo singur.
He measured the length of the bed.	A măsurat lungimea patului.
He should have finished it by now.	Ar trebui să fi terminat până acum.
He used pigeons in his experiment.	El a folosit porumbei în experimentul său.
He was tired, but he kept working.	El era obosit, dar a continuat să muncească.
He was too tired to walk any more.	El era prea obosit pentru a mai merge.
He was very friendly to everybody.	A fost foarte prietenos cu toată lumea.
He went by me without noticing me.	A trecut pe lângă mine fără să mă observe.
He will advise you on that matter.	El te va sfătui în acea chestiune.
He worked from morning till night.	El a muncit de dimineață până seara târziu.
He's had many unhappy experiences.	El a avut multe experiențe nefericite.
Her answer couldn't be understood.	Răspunsul ei nu putea fi înţeles.
His wealth has not made him happy.	Bogăţia lui nu l-a făcut fericit.
How many dictionaries do you have?	Câte dicționare ai?
How many dictionaries do you have?	Cât de multe dicționare ai?
I am afraid it will rain tomorrow.	Mă tem că va ploua mâine.
I assure you that I won't be late.	Te asigur că nu voi întârzia.
I believe you'll get over it soon.	Cred că vei trece peste asta în curând.
I can't tell you what Tom told me.	Nu-ți pot spune ce mi-a zis Tom.
I didn't have the guts to do that.	Nu am avut nervii să fac asta.
I don't like any of these records.	Nu-mi place niciuna dintre aceste înregistrări.
I don't like either tea or coffee.	Nu-mi place nici ceaiul nici cafeaua.
I don't like people staring at me.	Nu-mi place ca oamenii să se uite la mine.
I don't like to talk about myself.	Nu vreau să vorbesc despre mine.
I don't remember anyone named Tom.	Nu-mi amintesc de nimeni care să-l cheme Tom.
I don't remember what his name is.	Nu-mi amintesc care este numele lui.
I don't see why I shouldn't dance.	Nu văd de ce n-aș dansa.
I don't want to talk about school.	Nu vreau să vorbesc despre școală.
I had the good fortune to succeed.	Am avut norocul să reușesc.
I have a feeling Tom will be late.	Am o presimțire că Tom va întârzia.
I have a nice present to give you.	Am un cadou frumos să-ţi ofer.
I just said something very stupid.	Tocmai am spus o mare prostie.
I just said something very stupid.	Tocmai am spus ceva foarte stupid.
I know that nothing lasts forever.	Știu că nimic nu durează o veșnicie.
I know when someone's lying to me.	Știu când cineva mă minte.
I like red wine better than white.	Îmi place vinul roșul mai mult decât cel alb.
I like to study foreign languages.	Îmi place să studiez limbi străine.
I like to take a walk after meals.	Îmi place să fac o plimbare după mese.
I need to be alone so I can think.	Am nevoie să fiu singur că să mă pot gândi.
I should've read the instructions.	Ar fi trebuit să citesc instrucțiunile.
I sounded him out about his views.	L-am sondat cu privire la opiniile sale.
I spent twelve hours on the train.	Am petrecut douăsprezece ore în tren.
I think something happened to Tom.	Cred că s-a întâmplat ceva cu Tom.
I thought Tom would agree with me.	Am crezut că Tom va fi de acord cu mine.
I usually get up at eight o'clock.	De obicei mă trezesc la opt.
I want a massage. I need to relax.	Vreau un masaj. Am nevoie să mă relaxez.
I want this work finished by five.	Vreau ca această treabă să fie terminată până la cinci.
I want to be able to speak French.	Vreau să pot vorbi limba franceză.
